#\*l [nm]	Flux [mW/m\sp2\ep/nm]
  545.99  0.00000e+00
  546.02  9.37423e-16
  546.05  5.61343e-16
  546.07  3.75475e-16
  546.10  5.89495e-16
  546.13  8.55385e-16
  546.16  6.24575e-16
  546.19  1.10565e-15
  546.22  1.55567e-15
  546.25  9.90493e-16
  546.28  9.54420e-16
  546.30  8.22430e-16
  546.33  6.94194e-16
  546.36  1.27352e-15
  546.39  5.70683e-16
  546.42  2.74423e-16
  546.45  5.60750e-16
  546.48  8.31387e-16
  546.51  7.60247e-16
  546.53  9.80596e-16
  546.56  8.18178e-16
  546.59  8.94084e-16
  546.62  1.03405e-15
  546.65  5.33658e-16
  546.68  1.00995e-15
  546.71  1.45214e-15
  546.73  7.25995e-16
  546.76  8.46614e-16
  546.79  5.42094e-16
  546.82  9.21448e-16
  546.85  8.16452e-16
  546.88  1.39678e-15
  546.91  1.29972e-15
  546.94  9.22480e-16
  546.96  1.16630e-15
  546.99  9.00476e-16
  547.02  9.28370e-16
  547.05  7.72669e-16
  547.08  6.72340e-16
  547.11  6.45216e-16
  547.14  5.96109e-16
  547.17  1.24566e-15
  547.19  1.09956e-15
  547.22  6.80393e-16
  547.25  7.10732e-16
  547.28  1.03544e-15
  547.31  1.12490e-15
  547.34  5.13634e-16
  547.37  5.98207e-16
  547.40  9.39169e-16
  547.42  5.63509e-16
  547.45  1.09388e-15
  547.48  8.71751e-16
  547.51  7.97681e-16
  547.54  8.49382e-16
  547.57  7.00516e-16
  547.60  8.84270e-16
  547.62  1.00556e-15
  547.65  1.20159e-15
  547.68  7.60459e-16
  547.71  1.26093e-15
  547.74  7.82330e-16
  547.77  6.58063e-16
  547.80  9.28362e-16
  547.83  6.03077e-16
  547.85  1.19724e-15
  547.88  9.55499e-16
  547.91  8.74978e-16
  547.94  7.38378e-16
  547.97  9.64871e-16
  548.00  6.64762e-16
  548.03  7.65855e-16
  548.06  9.43949e-16
  548.08  7.62367e-16
  548.11  8.52644e-16
  548.14  5.70080e-16
  548.17  9.50382e-16
  548.20  7.92251e-16
  548.23  1.10638e-15
  548.26  9.49966e-16
  548.28  6.94503e-16
  548.31  9.58629e-16
  548.34  8.37083e-16
  548.37  6.54427e-16
  548.40  7.94974e-16
  548.43  1.21835e-15
