#\*l [nm]	Flux [mW/m\sp2\ep/nm]
 330.00  0.00000e+00
 330.02  3.91097e-14
 330.03  3.64843e-14
 330.04  4.88318e-14
 330.06  5.39347e-14
 330.07  5.10263e-14
 330.08  2.22898e-14
 330.10  1.18373e-14
 330.11  3.21944e-14
 330.12  2.85804e-14
 330.13  3.02092e-14
 330.15  5.40557e-14
 330.16  4.49947e-14
 330.17  3.33430e-14
 330.19  2.55753e-14
 330.20  2.52046e-14
 330.21  6.78724e-15
 330.23  2.78937e-14
 330.24  1.41496e-14
 330.25  7.76269e-15
 330.26  2.29829e-14
 330.28  4.31864e-14
 330.29  3.83041e-14
 330.30  4.89106e-14
 330.32  3.67213e-14
 330.33  3.31361e-14
 330.34  5.61399e-14
 330.36  6.40003e-14
 330.37  4.81375e-14
 330.38  3.04159e-14
 330.39  5.04315e-14
 330.41  3.67317e-14
 330.42  5.11735e-14
 330.43  4.08644e-14
 330.45  3.79698e-14
 330.46  3.72708e-14
 330.47  2.20699e-14
 330.49  3.60695e-14
 330.50  3.86994e-14
 330.51  2.09407e-14
 330.52  3.23853e-14
 330.54  3.87945e-14
 330.55  3.23822e-14
 330.56  2.98668e-14
 330.58  2.64103e-14
 330.59  1.89027e-14
 330.60  2.54591e-14
 330.62  2.30779e-14
 330.63  8.69140e-15
 330.64  3.72284e-14
 330.65  2.14702e-14
 330.67  3.98543e-14
 330.68  2.57540e-14
 330.69  2.77616e-14
 330.71  2.00907e-14
 330.72  2.93650e-14
 330.73  5.25692e-14
 330.75  4.48730e-14
 330.76  4.44427e-14
 330.77  2.29594e-14
 330.78  3.06526e-14
 330.80  3.41016e-14
 330.81  2.92949e-14
 330.82  3.00176e-14
 330.84  3.56040e-14
 330.85  3.49140e-14
 330.86  3.32227e-14
 330.88  4.41019e-14
 330.89  3.02348e-14
 330.90  3.31082e-14
 330.91  2.83594e-14
 330.93  3.28501e-14
 330.94  3.34505e-14
 330.95  2.64878e-14
 330.97  3.43791e-14
 330.98  3.82783e-14
 330.99  3.58069e-14
 331.01  5.41130e-14
 331.02  3.58676e-14
 331.03  3.27407e-14
 331.04  3.58730e-14
 331.06  3.61652e-14
 331.07  3.16266e-14
 331.08  3.98468e-14
 331.10  3.54117e-14
 331.11  5.06791e-14
 331.12  4.47890e-14
 331.14  4.41246e-14
 331.15  4.13939e-14
 331.16  4.94256e-14
 331.17  4.12066e-14
 331.19  4.06114e-14
 331.20  3.48397e-14
 331.21  3.98558e-14
 331.23  3.02778e-14
 331.24  3.13668e-14
 331.25  3.21425e-14
 331.27  4.16700e-14
 331.28  5.14144e-14
 331.29  3.47829e-14
 331.30  3.44930e-14
 331.32  3.54586e-14
 331.33  2.68084e-14
 331.34  3.73518e-14
 331.36  4.65712e-14
 331.37  3.71078e-14
 331.38  2.86898e-14
 331.40  4.62712e-14
 331.41  3.84873e-14
 331.42  3.09010e-14
 331.43  4.12954e-14
 331.45  1.79314e-14
 331.46  1.84600e-14
 331.47  1.80306e-14
 331.49  1.98990e-14
 331.50  3.46395e-14
 331.51  2.84349e-14
 331.53  4.29992e-14
 331.54  2.79857e-14
 331.55  1.77727e-14
 331.56  1.50171e-14
 331.58  1.74594e-14
 331.59  2.41237e-14
 331.60  2.70972e-14
 331.62  3.69635e-14
 331.63  4.15244e-14
 331.64  4.11917e-14
 331.66  3.23383e-14
 331.67  2.97138e-14
 331.68  3.55571e-14
 331.69  3.71883e-14
 331.71  2.71516e-14
 331.72  3.62553e-14
 331.73  2.64938e-14
 331.75  2.51373e-14
 331.76  3.40454e-14
 331.77  5.21877e-14
 331.79  3.93161e-14
 331.80  4.11091e-14
 331.81  4.65727e-14
 331.82  3.81666e-14
 331.84  3.27977e-14
 331.85  4.18389e-14
 331.86  2.41501e-14
 331.88  4.16802e-14
 331.89  4.58375e-14
 331.90  3.29976e-14
 331.92  2.08951e-14
 331.93  3.55840e-14
 331.94  4.12542e-14
 331.95  4.28906e-14
 331.97  4.88721e-14
 331.98  4.04725e-14
 331.99  4.26750e-14
 332.01  3.02897e-14
 332.02  4.12904e-14
 332.03  2.63785e-14
 332.05  3.12809e-14
 332.06  3.42402e-14
 332.07  3.30857e-14
 332.08  2.77818e-14
 332.10  3.97302e-14
 332.11  3.60661e-14
 332.12  3.92806e-14
 332.14  2.92938e-14
 332.15  3.98876e-14
 332.16  3.37136e-14
 332.18  3.83550e-14
 332.19  2.04809e-14
 332.20  4.85837e-14
 332.21  5.53575e-14
 332.23  3.74742e-14
 332.24  3.31060e-14
 332.25  3.17553e-14
 332.27  4.47303e-14
 332.28  4.28188e-14
 332.29  4.08931e-14
 332.31  2.79820e-14
 332.32  3.71246e-14
 332.33  2.77367e-14
 332.34  2.62486e-14
 332.36  4.36615e-14
 332.37  4.61206e-14
 332.38  3.05976e-14
 332.40  2.83882e-14
 332.41  4.52119e-14
 332.42  3.76941e-14
 332.44  4.92407e-14
 332.45  5.12929e-14
 332.46  4.91304e-14
 332.47  3.63562e-14
 332.49  6.42026e-14
 332.50  3.44043e-14
 332.51  3.37744e-14
 332.53  3.45256e-14
 332.54  4.54151e-14
 332.55  4.16886e-14
 332.57  4.04037e-14
 332.58  4.34428e-14
 332.59  4.40459e-14
 332.60  4.41179e-14
 332.62  4.70461e-14
 332.63  6.26165e-14
 332.64  4.17861e-14
 332.66  3.57830e-14
 332.67  3.18711e-14
 332.68  3.20460e-14
