#\*l [nm]	Flux [mW/m\sp2\ep/nm]
  545.00  0.00000e+00
  545.01  5.98041e-14
  545.02  5.42274e-14
  545.04  3.30767e-14
  545.05  4.30269e-14
  545.07  2.57490e-14
  545.08  5.23114e-14
  545.10  5.15074e-14
  545.11  5.29839e-14
  545.13  3.43269e-14
  545.14  5.71412e-14
  545.16  3.75566e-14
  545.17  3.70980e-14
  545.19  3.46870e-14
  545.20  3.79162e-14
  545.22  2.96739e-14
  545.23  2.01320e-14
  545.25  4.99537e-14
  545.26  1.63973e-14
  545.28  3.29746e-14
  545.29  2.90137e-14
  545.31  3.83699e-14
  545.32  2.94946e-14
  545.34  5.86491e-14
  545.35  4.89308e-14
  545.37  7.05526e-14
  545.38  3.33027e-14
  545.40  3.08976e-14
  545.41  3.74676e-14
  545.43  4.58737e-14
  545.44  4.86452e-14
  545.46  4.59404e-14
  545.47  4.56796e-14
  545.49  4.25829e-14
  545.50  4.03006e-14
  545.52  3.28316e-14
  545.53  3.97356e-14
  545.55  2.76444e-14
  545.56  3.40201e-14
  545.58  2.62788e-14
  545.59  2.14717e-14
  545.61  3.38362e-14
  545.62  4.67599e-14
  545.64  3.90288e-14
  545.65  4.52924e-14
  545.67  2.93488e-14
  545.68  3.22917e-14
  545.70  3.30531e-14
  545.71  3.79925e-14
  545.73  4.48621e-14
  545.74  2.95208e-14
  545.76  3.87142e-14
  545.77  3.99893e-14
  545.79  3.68869e-14
  545.80  4.07664e-14
  545.82  4.69160e-14
  545.83  2.68919e-14
  545.85  4.24099e-14
  545.86  2.00057e-14
  545.88  3.39086e-14
  545.89  3.31138e-14
  545.91  4.07058e-14
  545.92  3.96900e-14
  545.94  5.33273e-14
  545.95  3.35840e-14
  545.97  4.32894e-14
  545.98  3.61355e-14
  546.00  4.29226e-14
  546.01  3.35232e-14
  546.03  3.75320e-14
  546.04  3.03947e-14
  546.06  4.96993e-14
  546.07  4.39262e-14
  546.09  3.79884e-14
  546.10  3.49969e-14
  546.12  4.48166e-14
  546.13  4.32481e-14
  546.15  3.93634e-14
  546.16  4.34824e-14
  546.18  5.36843e-14
  546.19  4.89670e-14
  546.21  4.20672e-14
  546.22  3.07603e-14
  546.24  3.90799e-14
  546.25  4.73598e-14
  546.27  5.31416e-14
  546.28  4.32020e-14
  546.30  4.61220e-14
  546.31  3.57164e-14
  546.33  3.58100e-14
  546.34  4.72013e-14
  546.36  5.56117e-14
  546.37  3.66455e-14
  546.39  2.86235e-14
  546.40  3.29754e-14
  546.42  3.84520e-14
  546.43  4.16038e-14
  546.45  4.09173e-14
  546.46  3.30597e-14
  546.48  4.86571e-14
  546.49  4.47844e-14
  546.51  5.17354e-14
  546.52  5.00323e-14
  546.54  4.05585e-14
  546.55  4.11988e-14
  546.57  5.16518e-14
  546.58  4.52349e-14
  546.60  4.67648e-14
  546.61  3.77036e-14
  546.63  4.50112e-14
  546.64  4.01944e-14
  546.66  5.18314e-14
  546.67  3.76492e-14
  546.69  4.85995e-14
  546.70  4.86684e-14
  546.72  5.47885e-14
  546.73  4.87760e-14
  546.75  5.52323e-14
  546.76  4.29162e-14
  546.78  5.64593e-14
  546.79  4.51433e-14
  546.81  4.94375e-14
  546.82  5.49892e-14
  546.84  4.58554e-14
  546.85  4.26522e-14
  546.87  3.37545e-14
  546.88  5.45648e-14
  546.90  4.08742e-14
  546.91  3.72923e-14
  546.93  5.28731e-14
  546.94  4.50454e-14
  546.96  3.97682e-14
  546.97  3.92346e-14
  546.99  4.13796e-14
  547.00  4.32063e-14
  547.02  1.91294e-14
  547.03  3.64435e-14
  547.05  3.42325e-14
  547.06  3.79036e-14
  547.08  4.28832e-14
  547.09  4.31379e-14
  547.11  3.80687e-14
  547.12  3.81533e-14
  547.14  3.14073e-14
  547.15  4.24886e-14
  547.17  5.02634e-14
  547.18  4.81147e-14
  547.20  4.61638e-14
  547.21  5.94023e-14
  547.23  4.83049e-14
  547.24  4.79343e-14
  547.26  4.07510e-14
  547.27  4.99330e-14
  547.29  5.22237e-14
  547.30  6.30443e-14
  547.32  4.40882e-14
  547.33  4.34480e-14
  547.35  5.26671e-14
  547.36  3.80916e-14
  547.38  4.22220e-14
  547.39  3.90492e-14
  547.41  4.16108e-14
  547.42  3.82327e-14
  547.44  4.56519e-14
  547.45  4.56860e-14
  547.47  3.79490e-14
  547.48  5.17575e-14
  547.50  4.87008e-14
  547.51  4.77378e-14
  547.53  4.47219e-14
  547.54  3.59169e-14
  547.56  4.51511e-14
  547.57  4.44474e-14
  547.59  4.00683e-14
  547.60  3.96365e-14
  547.62  3.62647e-14
  547.63  4.79488e-14
  547.65  4.38035e-14
  547.66  3.30518e-14
  547.68  3.15584e-14
  547.69  3.13909e-14
  547.71  4.21814e-14
  547.72  3.03587e-14
  547.74  4.46535e-14
  547.75  3.67457e-14
  547.77  3.20554e-14
  547.78  4.08270e-14
  547.80  4.09672e-14
  547.81  4.69844e-14
  547.83  4.32966e-14
  547.84  4.05098e-14
  547.86  4.53645e-14
  547.87  4.92405e-14
  547.89  4.53448e-14
  547.90  4.40342e-14
  547.92  4.63074e-14
  547.93  4.46590e-14
  547.95  4.56340e-14
  547.96  5.89543e-14
  547.98  6.02655e-14
  547.99  3.66605e-14
  548.01  4.61377e-14
  548.02  3.08060e-14
  548.04  4.76073e-14
  548.05  4.62835e-14
  548.07  4.53948e-14
  548.08  4.25785e-14
  548.10  3.84244e-14
  548.11  4.45439e-14
  548.13  4.25288e-14
  548.14  4.05006e-14
  548.16  3.84115e-14
  548.17  2.77778e-14
  548.19  4.11731e-14
  548.20  3.38504e-14
  548.22  4.24904e-14
  548.23  3.03107e-14
  548.25  3.96886e-14
  548.26  4.33826e-14
  548.28  3.70262e-14
  548.29  6.18026e-14
  548.31  4.59153e-14
  548.32  4.06411e-14
  548.34  4.35370e-14
  548.35  5.53907e-14
  548.37  6.04483e-14
  548.38  4.87995e-14
  548.40  4.38883e-14
  548.41  5.46975e-14
  548.43  4.92788e-14
  548.44  4.92588e-14
  548.46  4.70272e-14
  548.47  3.35208e-14
  548.49  5.04512e-14
  548.50  4.82985e-14
  548.52  5.20243e-14
  548.53  4.10447e-14
  548.55  4.51085e-14
  548.56  5.14348e-14
  548.58  4.48811e-14
  548.59  6.51851e-14
  548.61  5.19104e-14
  548.62  5.09293e-14
  548.64  5.07134e-14
  548.65  4.73988e-14
  548.67  4.14704e-14
  548.68  4.15210e-14
  548.70  4.73488e-14
  548.71  4.63559e-14
  548.73  4.68784e-14
  548.74  4.21044e-14
  548.76  4.82544e-14
  548.77  4.47695e-14
  548.79  4.18444e-14
  548.80  3.64410e-14
  548.82  4.51506e-14
  548.83  4.86848e-14
  548.85  4.42026e-14
  548.86  3.95685e-14
  548.88  4.39745e-14
  548.89  5.54953e-14
  548.91  4.54486e-14
  548.92  5.17691e-14
  548.94  5.15331e-14
  548.95  4.69699e-14
  548.97  5.00774e-14
  548.98  5.18222e-14
  549.00  3.99735e-14
  549.01  4.31001e-14
  549.03  5.01526e-14
  549.04  4.20542e-14
  549.06  3.65711e-14
  549.07  3.70801e-14
  549.09  4.74981e-14
  549.10  4.25907e-14
  549.12  3.97007e-14
  549.13  4.57538e-14
  549.15  4.93524e-14
  549.16  5.92881e-14
  549.18  5.31821e-14
  549.19  5.87353e-14
  549.21  5.65979e-14
  549.22  4.99599e-14
  549.24  4.55481e-14
  549.25  4.56622e-14
  549.27  5.32455e-14
  549.28  4.30612e-14
  549.30  5.12233e-14
  549.31  4.64862e-14
  549.33  3.99430e-14
  549.34  4.50739e-14
  549.36  5.61984e-14
  549.37  5.54450e-14
  549.39  4.64146e-14
  549.40  4.03764e-14
  549.42  5.61991e-14
  549.43  5.18222e-14
  549.45  4.38500e-14
  549.46  4.41242e-14
  549.48  4.74560e-14
  549.49  5.13041e-14
  549.51  5.04488e-14
  549.52  4.82510e-14
  549.54  4.54962e-14
  549.55  3.78208e-14
  549.57  4.96325e-14
  549.58  3.87083e-14
  549.60  5.00086e-14
  549.61  4.32851e-14
  549.63  4.81626e-14
  549.64  4.80525e-14
  549.66  4.27173e-14
  549.67  5.52468e-14
  549.69  4.14671e-14
  549.70  3.44169e-14
  549.72  3.50624e-14
  549.73  2.72330e-14
  549.75  3.56060e-14
  549.76  3.99446e-14
  549.78  3.31324e-14
  549.79  2.56112e-14
  549.81  4.88018e-14
  549.82  4.54777e-14
  549.84  3.71425e-14
  549.85  4.75541e-14
  549.87  4.09573e-14
  549.88  4.48186e-14
  549.90  3.83561e-14
  549.91  4.54409e-14
  549.93  5.10095e-14
  549.94  4.05597e-14
  549.96  4.39875e-14
  549.97  3.67201e-14
  549.99  4.25317e-14
  550.00  3.61124e-14
  550.02  2.67564e-14
  550.03  3.80036e-14
  550.05  4.10773e-14
  550.06  4.64846e-14
  550.08  3.98658e-14
  550.09  3.60900e-14
  550.11  4.02109e-14
  550.12  3.65861e-14
  550.14  3.72767e-14
  550.15  3.60493e-14
  550.17  3.33647e-14
  550.18  4.39223e-14
  550.20  3.86480e-14
  550.21  4.68124e-14
  550.23  4.44747e-14
  550.24  4.86400e-14
  550.26  4.34648e-14
  550.27  4.94555e-14
  550.29  4.42319e-14
  550.30  5.37624e-14
  550.32  3.73592e-14
  550.33  4.63882e-14
  550.35  3.36658e-14
  550.36  3.95565e-14
  550.38  3.69328e-14
  550.39  4.25671e-14
  550.41  4.24500e-14
  550.42  3.46686e-14
  550.44  5.08035e-14
  550.45  4.14980e-14
  550.47  5.15603e-14
  550.48  4.58927e-14
  550.50  5.14463e-14
  550.51  4.40089e-14
  550.53  3.18211e-14
  550.54  3.82649e-14
  550.56  4.25085e-14
  550.57  3.61781e-14
  550.59  4.42310e-14
  550.60  4.27126e-14
  550.62  3.55749e-14
  550.63  3.72525e-14
  550.65  3.58495e-14
  550.66  3.18226e-14
  550.68  2.81222e-14
  550.69  3.14132e-14
  550.71  3.39487e-14
  550.72  4.10676e-14
  550.74  4.35467e-14
  550.75  4.26134e-14
  550.77  4.64310e-14
  550.78  5.04074e-14
  550.80  4.95889e-14
  550.81  3.47264e-14
  550.83  3.58322e-14
  550.84  4.37857e-14
