#\*l [\oA]	Flux [mW/m\sp2\ep/\nm]
 298.92   0.000000000000e+00
 298.94   1.196731036395e-13
 298.96   7.835533212699e-14
 298.98   3.669025799163e-14
 299.00  -1.175246353703e-13
 299.02  -1.322765994541e-13
 299.04   1.004386764768e-13
 299.06   4.040659887268e-14
 299.08   2.755765475138e-13
 299.10   1.209804533249e-13
 299.12  -1.477110593725e-13
 299.14  -4.589839473869e-14
 299.16   3.877203479759e-14
 299.18  -1.149195110300e-14
 299.20   1.361541416891e-13
 299.22  -5.882834933743e-14
 299.24  -6.409057063874e-14
 299.26  -1.130622692174e-13
 299.28  -7.592735983499e-14
 299.30   7.476707432398e-14
 299.32   1.429271678868e-13
 299.34  -5.082737157042e-15
 299.36  -1.423013984057e-13
 299.38  -8.271155612416e-14
 299.40  -1.403052699987e-13
 299.42   1.286638563376e-13
 299.44   5.808154851062e-14
 299.46  -2.681708638461e-14
 299.48  -1.519329492310e-13
 299.50  -3.062577384967e-13
 299.52   5.229300499277e-14
 299.54   2.762397883342e-13
 299.56   9.495180493102e-14
 299.58  -1.200953901103e-13
 299.60  -1.875794351809e-13
 299.62  -1.104315413544e-13
 299.64  -1.762429644477e-13
 299.66   2.186628190394e-13
 299.68   1.772071702881e-13
 299.70  -2.129482890327e-14
 299.72  -1.669789605225e-13
 299.74   1.364301031908e-13
 299.76   3.353852953282e-14
 299.78   6.241352947188e-14
 299.80   1.968674249953e-14
 299.82   1.365786020209e-13
 299.84  -2.441338795435e-13
 299.86  -7.747015509762e-14
 299.88  -5.702193254999e-15
 299.90   3.382759709279e-13
 299.92   1.681927037310e-14
 299.94   6.406806591515e-14
 299.96  -6.530959280738e-12
 299.98  -1.751407883780e-12
 300.00   1.323098655505e-12
 300.02   6.894946841788e-12
 300.04  -2.669580044480e-12
 300.06  -9.237269153475e-12
 300.08  -6.838458592263e-12
 300.10  -1.839431426547e-12
 300.12  -1.329100538558e-13
 300.14   7.608584552035e-12
 300.16   3.141520671684e-12
 300.18   1.304498577019e-13
 300.20  -4.933196874737e-12
 300.22   2.921622426656e-12
 300.24  -8.295376335634e-13
 300.26   8.188382546415e-12
 300.28   1.877951588229e-12
 300.30  -8.146100674180e-12
 300.32  -3.240286083915e-12
 300.34   1.775704568592e-12
 300.36   6.244389056130e-12
 300.38  -2.133507025118e-12
 300.40  -1.156438368053e-12
 300.42  -3.642184802840e-12
 300.44  -2.411297875613e-12
 300.46   2.618900635960e-12
 300.48   9.646136653849e-13
 300.50   7.813734916699e-13
 300.52  -3.821146628793e-12
 300.54  -3.235274755916e-12
 300.56  -2.669874256710e-12
 300.58  -2.590897282564e-12
 300.60   1.989242532513e-12
 300.62  -4.426870588823e-13
 300.64  -3.688016783562e-12
 300.66  -2.494857939853e-12
 300.68  -5.391554887755e-12
 300.70   3.127132201795e-12
 300.72   3.675066701622e-12
 300.74  -7.988773411414e-12
 300.76  -4.019665068353e-12
 300.78  -7.284005825125e-13
 300.80   1.793315769596e-13
 300.82   5.453066473248e-12
 300.84  -1.419095245347e-12
 300.86   8.200547073556e-13
 300.88  -2.669713545862e-12
 300.90  -1.182650917263e-12
 300.92   1.661723996273e-12
 300.94   1.902762127768e-12
 300.96   1.780780242765e-12
 300.98  -2.943366358805e-12
 301.00  -4.152204005106e-12
 301.02   8.285395709376e-13
 301.04  -1.762017103908e-13
 301.06   1.349298179764e-12
 301.08   3.809479250010e-12
 301.10   3.834096924167e-13
 301.12  -4.908854470197e-12
 301.14   7.073699271647e-13
 301.16   2.212300171230e-12
 301.18   3.646497465327e-12
 301.20   1.828977539115e-12
 301.22  -1.006394865004e-12
 301.24  -1.166843352345e-12
 301.26   1.402536980061e-12
 301.28   3.869527008326e-12
 301.30   1.481574469072e-13
 301.32  -5.427818837818e-13
 301.34  -1.924553912412e-12
 301.36  -2.811768065254e-12
 301.38   7.015428757113e-13
 301.40   8.241846874109e-13
 301.42   3.470581225806e-12
 301.44   2.647146802533e-13
 301.46   2.032320107836e-12
 301.48  -7.819556851936e-13
 301.50   2.721764722923e-13
