#\*l [nm]	Flux [mW/m\sp2\ep/nm]
  545.00  0.00000e+00
  545.02  1.89173e-14
  545.04  7.64454e-15
  545.06  1.09982e-14
  545.08  1.01068e-14
  545.10  6.85224e-15
  545.12  1.51062e-14
  545.14  9.77686e-15
  545.16  6.56657e-15
  545.18  7.00973e-15
  545.20  9.50488e-15
  545.22  7.43292e-15
  545.24  1.14384e-14
  545.26  1.09398e-14
  545.28  6.45381e-15
  545.30  9.96960e-15
  545.32  5.78984e-15
  545.34  7.48423e-15
  545.36  2.20946e-15
  545.38  1.20406e-14
  545.40  1.51509e-15
  545.42  6.15983e-15
  545.44  1.74392e-14
  545.46  6.56945e-15
  545.48  9.42340e-15
  545.50  1.15624e-14
  545.52  1.45290e-14
  545.54 -2.05389e-15
  545.56  1.64903e-14
  545.58  7.62380e-15
  545.60  8.24494e-16
  545.62  1.14405e-14
  545.64  1.30420e-14
  545.66  3.51300e-15
  545.68  1.24275e-14
  545.70  1.17369e-14
  545.72  5.88363e-15
  545.74  7.24421e-15
  545.76  4.18498e-15
  545.78  7.36345e-15
  545.80  4.54845e-15
  545.82  1.24932e-14
  545.84  3.68825e-15
  545.86  1.13774e-14
  545.88  1.09359e-14
  545.90  6.85224e-15
  545.92  7.80540e-15
  545.94  1.00850e-14
  545.96  4.62473e-15
  545.98  8.44586e-15
  546.00  1.06633e-14
  546.02  4.19544e-15
  546.04  1.05530e-14
  546.06  1.57979e-14
  546.08  3.98452e-15
  546.10  1.11689e-14
  546.12  1.10460e-14
  546.14  1.22505e-14
  546.16  6.33574e-15
  546.18  1.36728e-14
  546.20  6.54241e-15
  546.22  7.99320e-15
  546.24  1.13952e-14
  546.26  9.79473e-15
  546.28  7.87984e-15
  546.30  1.25310e-14
  546.32  8.11334e-15
  546.34  2.68375e-15
  546.36  1.11857e-14
  546.38  1.18546e-14
  546.40  7.45358e-15
  546.42  7.44528e-15
  546.44  8.03285e-15
  546.46  1.27129e-14
  546.48  1.29373e-14
  546.50  9.45030e-15
  546.52  7.72776e-15
  546.54  1.31502e-14
  546.56  1.01095e-14
  546.58  5.04051e-15
  546.60  1.08703e-14
  546.62  8.85983e-15
  546.64  1.26570e-14
  546.66  1.38657e-14
  546.68  8.44303e-15
  546.70  9.28661e-15
  546.72  1.41566e-14
  546.74  1.28273e-14
  546.76  6.38114e-15
  546.78  1.15180e-14
  546.80  1.41066e-14
  546.82  6.30257e-15
  546.84  1.04456e-14
  546.86  9.19414e-15
  546.88  8.64480e-15
  546.90  7.96700e-15
  546.92  1.11729e-14
  546.94  4.66766e-15
  546.96  9.21515e-15
  546.98  9.61713e-15
  547.00  7.67876e-15
  547.02  1.00982e-14
  547.04  7.93811e-15
  547.06  6.43017e-15
  547.08  8.80640e-15
  547.10  1.21798e-14
  547.12  1.07014e-14
  547.14  9.21987e-15
  547.16  1.43163e-14
  547.18  6.36004e-15
  547.20  1.19230e-14
  547.22  1.07870e-14
  547.24  8.34751e-15
  547.26  9.65860e-15
  547.28  9.87789e-15
  547.30  7.33324e-15
  547.32  1.00234e-14
  547.34  1.12984e-14
  547.36  9.73770e-15
  547.38  6.71775e-15
  547.40  8.48457e-15
  547.42  8.28310e-15
  547.44  5.39570e-15
  547.46  6.18096e-15
  547.48  8.71493e-15
  547.50  8.42756e-15
  547.52  9.46199e-15
  547.54  7.22555e-15
  547.56  9.27655e-15
  547.58  1.23680e-14
  547.60  8.57939e-15
  547.62  7.01697e-15
