#\*l [nm]	Flux [mW/m\sp2\ep/nm]
  545.99  0.00000e+00
  546.02  7.84715e-16
  546.05  1.26192e-15
  546.07  3.47127e-16
  546.10  1.32170e-15
  546.13  1.22023e-15
  546.16  6.39839e-16
  546.19  5.10925e-17
  546.22  5.18598e-16
  546.25  6.84342e-16
  546.28  4.72409e-16
  546.30  2.38424e-16
  546.33  1.22204e-15
  546.36  8.39625e-16
  546.39  3.84544e-16
  546.42 -1.87825e-17
  546.45  7.81183e-16
  546.48  6.20701e-16
  546.51  4.62732e-16
  546.53  7.20053e-16
  546.56  2.10721e-16
  546.59  1.61992e-16
  546.62  5.09588e-16
  546.65  3.83950e-16
  546.68  6.31819e-16
  546.71  1.42418e-15
  546.73  6.85242e-16
  546.76  7.88885e-16
  546.79  5.48217e-16
  546.82  6.31251e-16
  546.85  9.05636e-16
  546.88  1.33003e-15
  546.91  7.37878e-16
  546.94  7.91248e-16
  546.96  7.30785e-16
  546.99  4.40955e-16
  547.02  1.15340e-15
  547.05  2.41689e-17
  547.08  9.94713e-16
  547.11  4.19372e-17
  547.14  3.05811e-16
  547.17  1.24343e-15
  547.19  5.25091e-16
  547.22  4.02252e-16
  547.25  7.08303e-16
  547.28  4.01390e-16
  547.31  8.91559e-16
  547.34  4.65211e-16
  547.37  5.14982e-16
  547.40  9.27617e-16
  547.42  7.72286e-16
  547.45  8.01500e-16
  547.48  5.43036e-16
  547.51  7.79437e-16
  547.54  1.08039e-15
  547.57  6.24913e-16
  547.60  8.68183e-16
  547.62  1.05510e-15
  547.65  4.67979e-16
  547.68  9.87949e-16
  547.71  8.84006e-16
  547.74  6.84751e-16
  547.77  1.33529e-15
  547.80  8.59879e-16
  547.83  9.68838e-16
  547.85  7.38018e-16
  547.88  1.35993e-15
  547.91  8.35030e-16
  547.94  7.42568e-16
  547.97  1.18307e-15
  548.00  5.19200e-16
  548.03  1.04775e-15
  548.06  1.10154e-15
  548.08  1.26405e-15
  548.11  1.18130e-15
  548.14  5.47338e-16
  548.17  4.26672e-16
  548.20  6.17787e-16
  548.23  1.01948e-15
  548.26  8.36855e-16
  548.28  6.66852e-16
  548.31  7.13883e-16
  548.34  6.96371e-16
  548.37  3.33044e-16
  548.40  1.39352e-15
  548.43  8.86207e-16
  548.46  8.91201e-16
  548.49  8.19118e-16
  548.51  1.36809e-15
  548.54  1.81623e-15
  548.57  5.83183e-16
  548.60  9.21572e-16
  548.63  4.98264e-16
  548.66  7.62695e-16
  548.69  1.33340e-15
  548.72  1.06943e-15
  548.74  1.05279e-15
  548.77  1.25574e-15
  548.80  1.00008e-15
  548.83  7.56787e-16
  548.86  1.24445e-15
  548.89  1.17703e-15
  548.92  1.13193e-15
  548.94  8.09305e-16
  548.97  8.33165e-16
  549.00  9.50518e-16
  549.03  1.20109e-15
  549.06  1.05216e-15
  549.09  7.15333e-16
  549.12  9.59131e-16
  549.15  8.88397e-16
  549.17  1.07381e-15
  549.20  1.02630e-15
  549.23  9.04263e-16
  549.26  8.75971e-16
  549.29  1.12455e-15
  549.32  9.68613e-16
  549.35  4.97805e-16
  549.38  1.07294e-15
  549.40  9.52162e-16
  549.43  1.37333e-15
  549.46  1.84180e-15
  549.49  1.29409e-15
  549.52  8.22178e-16
  549.55  8.63737e-16
  549.58  1.51405e-15
  549.60  1.20527e-15
  549.63  1.07886e-15
  549.66  8.17680e-16
  549.69  1.92843e-15
  549.72  8.95726e-16
  549.75  4.32039e-16
  549.78  3.50319e-16
  549.81  5.99442e-16
  549.83  2.40129e-16
  549.86  1.10314e-15
  549.89  6.90250e-16
  549.92  1.59609e-16
  549.95  5.58671e-16
  549.98  4.07127e-16
  550.01  6.61056e-16
  550.04  7.63627e-16
  550.06  1.05706e-15
  550.09  4.05352e-16
  550.12  9.42855e-16
  550.15  7.22510e-16
  550.18  2.19989e-16
  550.21  7.54208e-16
  550.24  6.39261e-16
  550.27  6.67604e-16
  550.29  6.97090e-16
  550.32  5.93114e-16
  550.35  3.03216e-16
  550.38  4.93612e-16
  550.41  7.07588e-16
  550.44  2.64144e-16
  550.47  4.45972e-16
  550.49  4.34906e-16
  550.52  1.17371e-15
  550.55  6.96218e-16
  550.58  3.70313e-16
  550.61  5.66939e-16
  550.64  8.85734e-16
  550.67  9.32754e-16
  550.70  8.23091e-16
  550.72  3.97682e-16
  550.75  2.42239e-16
  550.78  7.48188e-16
  550.81  3.09603e-16
  550.84  2.98773e-16
  550.87  2.15776e-16
  550.90  8.40923e-16
  550.93  1.40675e-15
  550.95  3.02924e-16
  550.98  9.49721e-17
  551.01  8.28957e-16
  551.04  1.16781e-15
  551.07  9.31645e-16
  551.10  2.35667e-16
  551.13  4.53648e-16
  551.15  9.74253e-16
  551.18  2.46893e-16
  551.21  5.81536e-16
  551.24  5.69639e-16
  551.27  9.01714e-16
  551.30  8.51848e-16
  551.33  3.63073e-16
  551.36  8.22906e-16
  551.38  1.02137e-15
  551.41  5.70909e-16
  551.44  9.07878e-16
  551.47  9.05345e-16
  551.50  6.00560e-16
  551.53  9.99510e-16
  551.56  1.10350e-15
  551.59  8.20069e-16
  551.61  7.12903e-16
  551.64  8.10428e-16
  551.67  5.98312e-16
  551.70  5.41349e-16
  551.73  8.84946e-16
  551.76  5.94306e-16
  551.79  4.29436e-16
  551.81  3.84195e-16
  551.84  6.77066e-16
  551.87  8.06617e-16
  551.90  7.08028e-16
  551.93  1.02568e-15
  551.96  7.87654e-16
  551.99  7.31501e-16
  552.02  1.00131e-15
  552.04  6.98405e-16
  552.07  1.05083e-15
  552.10  9.38756e-16
  552.13  9.37633e-16
  552.16  5.53139e-16
  552.19  4.40784e-16
  552.22  6.06362e-16
  552.25  1.29225e-15
  552.27  1.10596e-15
  552.30  1.04639e-15
  552.33  1.07043e-15
  552.36  9.26377e-16
  552.39  9.02217e-16
  552.42  4.31306e-16
  552.45  3.37505e-16
  552.47  6.80526e-16
  552.50  9.43289e-16
  552.53  1.96664e-16
  552.56  5.62366e-16
  552.59  6.23761e-16
  552.62  5.93958e-16
  552.65  4.31990e-16
  552.68  6.31558e-16
  552.70  6.20704e-16
  552.73  4.68315e-16
  552.76  1.19432e-15
  552.79  1.91841e-15
  552.82  4.68492e-16
  552.85  6.17529e-16
  552.88  2.64393e-16
  552.91  2.13832e-16
  552.93  5.01363e-16
  552.96  1.06828e-15
  552.99  1.26981e-15
  553.02  1.00756e-15
  553.05  1.11479e-15
  553.08  1.00454e-15
  553.11  1.54783e-15
  553.14  1.45809e-15
  553.16  8.15639e-16
  553.19  8.17694e-16
  553.22  1.16457e-15
  553.25  8.84679e-16
  553.28  4.45228e-16
  553.31  1.31755e-15
  553.34  4.66808e-16
  553.36  2.07878e-16
  553.39  1.87037e-16
  553.42  1.47032e-15
  553.45  4.74503e-16
  553.48  1.07754e-15
  553.51  6.55276e-16
  553.54  1.45269e-16
  553.57  1.09947e-15
  553.59  5.09509e-16
  553.62  6.66300e-17
  553.65  3.48663e-16
  553.68  8.22877e-17
  553.71  1.02051e-15
  553.74  5.52948e-16
  553.77  8.38639e-16
  553.80  7.82637e-16
