#\*l [nm]	Flux [mW/m\sp2\ep/nm]
  545.00  0.00000e+00
  545.02  3.23075e-14
  545.04  1.55470e-14
  545.06  1.46429e-14
  545.08  1.23611e-14
  545.10  1.68492e-14
  545.12  2.31131e-14
  545.14  1.43259e-14
  545.16  1.43816e-14
  545.18  2.09914e-14
  545.20  1.37815e-14
  545.22  8.35040e-15
  545.24  1.79577e-14
  545.26  2.14188e-14
  545.28  1.86750e-14
  545.30  1.78653e-14
  545.32  2.34646e-14
  545.34  9.55522e-15
  545.36  2.18218e-14
  545.38  2.84781e-14
  545.40  1.16576e-14
  545.42  1.91810e-14
  545.44  1.20860e-14
  545.46  2.13339e-14
  545.48  1.66472e-14
  545.50  1.36822e-14
  545.52  1.05722e-14
  545.54  1.73922e-14
  545.56  1.59806e-14
  545.58  1.19086e-14
  545.60  1.54271e-14
  545.62  2.38720e-14
  545.64  6.05080e-15
  545.66  1.48135e-14
  545.68  2.23765e-14
  545.70  8.99962e-15
  545.72  1.62888e-14
  545.74  1.72197e-14
  545.76  2.39152e-14
  545.78  1.57570e-14
  545.80  1.94417e-14
  545.82  1.69235e-14
  545.84  2.27583e-14
  545.86  1.81704e-14
  545.88  1.87678e-14
  545.90  1.69935e-14
  545.92  2.44685e-14
  545.94  1.34572e-14
  545.96  1.53575e-14
  545.98  2.06306e-14
  546.00  1.66341e-14
  546.02  1.29147e-14
  546.04  2.37360e-14
  546.06  1.87298e-14
  546.08  1.99305e-14
  546.10  2.02402e-14
  546.12  2.37998e-14
  546.14  1.58640e-14
  546.16  1.71154e-14
  546.18  2.04588e-14
  546.20  1.76934e-14
  546.22  2.25908e-14
  546.24  5.89745e-14
  546.26  2.38040e-14
  546.28  2.05465e-14
  546.30  1.72075e-14
  546.32  2.15185e-14
  546.34  1.49769e-14
  546.36  2.08937e-14
  546.38  2.09522e-14
  546.40  1.85025e-14
  546.42  2.14099e-14
  546.44  1.66873e-14
  546.46  2.13836e-14
  546.48  2.38090e-14
  546.50  2.19871e-14
  546.52  2.12624e-14
  546.54  2.06951e-14
  546.56  1.50658e-14
  546.58  1.87645e-14
  546.60  2.17264e-14
  546.62  2.07816e-14
  546.64  1.94354e-14
  546.66  2.56301e-14
  546.68  1.74524e-14
  546.70  1.85134e-14
  546.72  2.96826e-14
  546.74  2.34410e-14
  546.76  1.95543e-14
  546.78  2.39182e-14
  546.80  2.25203e-14
  546.82  2.37754e-14
  546.84  1.97565e-14
  546.86  1.72697e-14
  546.88  1.80858e-14
  546.90  2.21421e-14
  546.92  1.48635e-14
  546.94  2.35239e-14
  546.96  2.23235e-14
  546.98  1.56588e-14
  547.00  1.65876e-14
  547.02  2.23108e-14
  547.04  2.29515e-14
  547.06  1.88019e-14
  547.08  2.22658e-14
  547.10  2.23716e-14
  547.12  1.91567e-14
  547.14  2.19522e-14
  547.16  2.36090e-14
  547.18  2.25560e-14
  547.20  2.37796e-14
  547.22  1.84890e-14
  547.24  2.16285e-14
  547.26  2.66064e-14
  547.28  2.05867e-14
  547.30  2.02134e-14
  547.32  2.22935e-14
  547.34  1.96640e-14
  547.36  1.69118e-14
  547.38  2.51875e-14
  547.40  2.20893e-14
  547.42  1.55069e-14
  547.44  2.27117e-14
  547.46  2.37880e-14
  547.48  1.81467e-14
  547.50  2.13330e-14
  547.52  2.28914e-14
  547.54  2.07263e-14
  547.56  1.88413e-14
  547.58  2.20054e-14
  547.60  1.99626e-14
  547.62  2.10521e-14
  547.64  1.87907e-14
  547.66  1.75992e-14
  547.68  1.84718e-14
  547.70  2.27920e-14
  547.72  1.76478e-14
  547.74  2.28073e-14
  547.76  2.31768e-14
  547.78  1.65904e-14
  547.80  2.25410e-14
  547.82  2.26804e-14
  547.84  2.23060e-14
  547.86  1.83174e-14
  547.88  2.19385e-14
  547.90  2.04617e-14
  547.92  2.13554e-14
  547.94  2.09139e-14
  547.96  1.14232e-14
  547.98  1.89866e-14
  548.00  2.20773e-14
  548.02  1.79520e-14
  548.04  2.13857e-14
  548.06  2.19213e-14
  548.08  1.87504e-14
  548.10  2.03493e-14
  548.12  1.84608e-14
  548.14  1.89788e-14
  548.16  2.27837e-14
  548.18  2.33702e-14
  548.20  2.07007e-14
  548.22  2.25435e-14
  548.24  2.44610e-14
  548.26  2.42934e-14
  548.28  2.28138e-14
  548.30  2.87233e-14
  548.32  2.14072e-14
  548.34  2.51056e-14
  548.36  2.65657e-14
  548.38  2.34663e-14
  548.40  2.48248e-14
  548.42  2.57382e-14
  548.44  2.10662e-14
  548.46  2.25482e-14
  548.48  2.38067e-14
  548.50  2.08547e-14
  548.52  2.24846e-14
  548.54  2.45567e-14
  548.56  2.19291e-14
  548.58  2.03610e-14
  548.60  2.51018e-14
  548.62  2.13998e-14
  548.64  2.17683e-14
  548.66  2.27907e-14
  548.68  2.18314e-14
  548.70  2.12776e-14
  548.72  2.70779e-14
  548.74  1.89614e-14
