#\*l [\oA]	Flux [mW/m\sp2\ep/\nm]
  533.66  9.71117e-16
  533.68  9.61489e-16
  533.70  9.51663e-16
  533.72  9.50970e-16
  533.74  9.50275e-16
  533.76  9.49580e-16
  533.78  9.48885e-16
  533.80  9.48192e-16
  533.82  9.47497e-16
  533.84  9.46802e-16
  533.86  9.46108e-16
  533.88  9.45413e-16
  533.90  9.44719e-16
  533.92  9.44026e-16
  533.94  9.43331e-16
  533.96  9.42635e-16
  533.98  9.41943e-16
  534.00  9.41248e-16
  534.02  9.40553e-16
  534.04  9.39860e-16
  534.06  9.39165e-16
  534.08  9.38470e-16
  534.10  9.37777e-16
  534.12  9.37082e-16
  534.14  9.36387e-16
  534.16  9.35694e-16
  534.18  9.34998e-16
  534.20  9.34303e-16
  534.22  9.33611e-16
  534.24  9.32916e-16
  534.26  9.32221e-16
  534.28  9.31525e-16
  534.30  9.30833e-16
  534.32  9.30138e-16
  534.34  9.29443e-16
  534.36  9.28750e-16
  534.38  9.28055e-16
  534.40  9.27360e-16
  534.42  9.26667e-16
  534.44  9.25972e-16
  534.46  9.25277e-16
  534.48  9.24584e-16
  534.50  9.23889e-16
  534.52  9.23193e-16
  534.54  9.22501e-16
  534.56  9.21806e-16
  534.58  9.21111e-16
  534.60  9.20418e-16
  534.62  9.19722e-16
  534.64  9.19027e-16
  534.66  9.18335e-16
  534.68  9.17640e-16
  534.70  9.16944e-16
  534.72  9.16252e-16
  534.74  9.15557e-16
  534.76  9.14862e-16
  534.78  9.14166e-16
  534.80  9.13473e-16
  534.82  9.12778e-16
  534.84  9.12083e-16
  534.86  9.11391e-16
  534.88  9.10696e-16
  534.90  9.10001e-16
  534.92  9.09307e-16
  534.94  9.08612e-16
  534.96  9.07917e-16
  534.98  9.07224e-16
  535.00  9.06529e-16
  535.02  9.05834e-16
  535.04  9.05141e-16
  535.06  9.04446e-16
  535.08  9.03751e-16
  535.10  9.03058e-16
  535.12  9.02363e-16
  535.14  9.01668e-16
  535.16  9.00975e-16
  535.18  9.00280e-16
  535.20  8.99585e-16
  535.22  8.98892e-16
  535.24  8.98197e-16
  535.26  8.97502e-16
  535.28  8.96807e-16
  535.30  8.96114e-16
  535.32  8.95419e-16
  535.34  8.94724e-16
  535.36  8.94031e-16
  535.38  8.93336e-16
  535.40  8.92641e-16
  535.42  8.91948e-16
  535.44  8.91253e-16
  535.46  8.90558e-16
  535.48  8.89865e-16
  535.50  8.89170e-16
  535.52  8.88475e-16
  535.54  8.87782e-16
  535.56  8.87087e-16
  535.58  8.86392e-16
