#\*l [\oA]	Flux [mW/m\sp2\ep/\nm]
  533.66  4.82457e-16
  533.68  4.83103e-16
  533.70  4.83750e-16
  533.72  4.84394e-16
  533.74  4.85041e-16
  533.76  4.85687e-16
  533.78  4.86334e-16
  533.80  4.86979e-16
  533.82  4.87627e-16
  533.84  4.88274e-16
  533.86  4.88919e-16
  533.88  4.89566e-16
  533.90  4.90214e-16
  533.92  4.90859e-16
  533.94  4.91506e-16
  533.96  4.92153e-16
  533.98  4.92799e-16
  534.00  4.93446e-16
  534.02  4.94093e-16
  534.04  4.94739e-16
  534.06  4.95386e-16
  534.08  4.96033e-16
  534.10  4.96678e-16
  534.12  4.97326e-16
  534.14  4.97973e-16
  534.16  4.98618e-16
  534.18  4.99266e-16
  534.20  4.99913e-16
  534.22  5.00558e-16
  534.24  5.01205e-16
  534.26  5.01853e-16
  534.28  5.02500e-16
  534.30  5.03145e-16
  534.32  5.03793e-16
  534.34  5.04440e-16
  534.36  5.05085e-16
  534.38  5.05732e-16
  534.40  5.06380e-16
  534.42  5.07025e-16
  534.44  5.07672e-16
  534.46  5.08320e-16
  534.48  5.08965e-16
  534.50  5.09612e-16
  534.52  5.10259e-16
  534.54  5.10905e-16
  534.56  5.11552e-16
  534.58  5.12199e-16
  534.60  5.12844e-16
  534.62  5.13492e-16
  534.64  5.14139e-16
  534.66  5.14784e-16
  534.68  5.15432e-16
  534.70  5.16079e-16
  534.72  5.16724e-16
  534.74  5.17371e-16
  534.76  5.18019e-16
  534.78  5.18666e-16
  534.80  5.19311e-16
  534.82  5.19959e-16
  534.84  5.20606e-16
  534.86  5.21251e-16
  534.88  5.21898e-16
  534.90  5.22546e-16
  534.92  5.23191e-16
  534.94  5.23838e-16
  534.96  5.24486e-16
  534.98  5.25131e-16
  535.00  5.25778e-16
  535.02  5.26425e-16
  535.04  5.27071e-16
  535.06  5.27718e-16
  535.08  5.28365e-16
  535.10  5.29011e-16
  535.12  5.29658e-16
  535.14  5.30305e-16
  535.16  5.30951e-16
  535.18  5.31598e-16
  535.20  5.32245e-16
  535.22  5.32890e-16
  535.24  5.33538e-16
  535.26  5.34185e-16
  535.28  5.34832e-16
  535.30  5.35478e-16
  535.32  5.36125e-16
  535.34  5.36772e-16
  535.36  5.37417e-16
  535.38  5.38065e-16
  535.40  5.38712e-16
  535.42  5.39357e-16
  535.44  5.40005e-16
  535.46  5.40652e-16
  535.48  5.41297e-16
  535.50  5.41944e-16
  535.52  5.42592e-16
  535.54  5.43237e-16
  535.56  5.43884e-16
  535.58  5.44532e-16
  535.60  5.45177e-16
  535.62  5.45824e-16
  535.64  5.46471e-16
  535.66  5.47117e-16
  535.68  5.47764e-16
  535.70  5.48411e-16
  535.72  5.49057e-16
  535.74  5.49704e-16
  535.76  5.50351e-16
  535.78  5.50999e-16
  535.80  5.51644e-16
  535.82  5.52291e-16
  535.84  5.52939e-16
  535.86  5.53584e-16
  535.88  5.54231e-16
  535.90  5.54878e-16
  535.92  5.55524e-16
  535.94  5.56171e-16
  535.96  5.56818e-16
  535.98  5.57464e-16
  536.00  5.58111e-16
  536.02  5.58758e-16
  536.04  5.59403e-16
  536.06  5.60051e-16
  536.08  5.60698e-16
  536.10  5.61343e-16
  536.12  5.61991e-16
  536.14  5.62638e-16
  536.16  5.63283e-16
  536.18  5.63931e-16
  536.20  5.64578e-16
  536.22  5.65223e-16
  536.24  5.65870e-16
  536.26  5.66518e-16
  536.28  5.67165e-16
  536.30  5.67810e-16
  536.32  5.68458e-16
  536.34  5.69105e-16
  536.36  5.69750e-16
  536.38  5.70398e-16
  536.40  5.71045e-16
  536.42  5.71690e-16
  536.44  5.72338e-16
  536.46  5.72985e-16
  536.48  5.73630e-16
  536.50  5.74277e-16
  536.52  5.74925e-16
  536.54  5.75570e-16
  536.56  5.76217e-16
  536.58  5.76865e-16
  536.60  5.77510e-16
  536.62  5.78157e-16
  536.64  5.78805e-16
  536.66  5.79450e-16
  536.68  5.80097e-16
  536.70  5.80744e-16
  536.72  5.81390e-16
  536.74  5.82037e-16
  536.76  5.82684e-16
  536.78  5.83332e-16
  536.80  5.83977e-16
  536.82  5.84624e-16
  536.84  5.85272e-16
