#\*l [\oA]	Flux [mW/m\sp2\ep/\nm]
 298.92   0.000000000000e+00
 298.94   7.761869099959e-14
 298.96   8.545105594942e-15
 298.98  -7.728620555885e-13
 299.00   5.232999893756e-13
 299.02  -4.454100974228e-13
 299.04  -2.234560960503e-13
 299.06   6.666948480887e-15
 299.08  -7.964273741166e-16
 299.10  -1.523097886300e-13
 299.12   7.076860603949e-13
 299.14   3.465418196647e-14
 299.16   4.651740794098e-13
 299.18  -1.952851305097e-13
 299.20   5.542398061517e-13
 299.22   1.768939727150e-13
 299.24  -2.859038823644e-13
 299.26   9.402705830182e-14
 299.28   4.600807950553e-14
 299.30   4.878854147866e-14
 299.32   2.407576756506e-13
 299.34   5.879167566722e-13
 299.36  -1.068418638694e-12
 299.38   5.311015196956e-13
 299.40   9.013026796782e-14
 299.42   2.594887342534e-13
 299.44  -1.196253955005e-13
 299.46   2.478130119600e-13
 299.48   1.526711578349e-13
 299.50   8.886220567818e-14
 299.52  -4.246135107421e-13
 299.54   1.306990398987e-13
 299.56   2.117205598450e-13
 299.58  -1.326591621039e-13
 299.60  -3.255008563105e-13
 299.62   6.038635637344e-14
 299.64   2.582725170154e-13
 299.66   3.032272114350e-13
 299.68  -6.937352701021e-14
 299.70   1.074170570663e-13
 299.72   3.051164083055e-13
 299.74   2.501386891518e-13
 299.76  -2.126684113851e-13
 299.78  -4.999250338348e-13
 299.80   4.519677980832e-13
 299.82   2.177171574739e-13
 299.84  -5.113045573540e-14
 299.86  -1.110541100781e-13
 299.88  -4.393317851741e-13
 299.90  -4.157339569590e-13
 299.92  -7.170206514691e-14
 299.94  -1.312036308706e-13
 299.96  -1.079454655192e-10
 299.98   1.330442396557e-10
 300.00   6.763282479887e-11
 300.02   5.767012010366e-11
 300.04  -5.961339698633e-11
 300.06  -4.222748646757e-13
 300.08  -2.547397938574e-10
 300.10  -3.621502606601e-11
 300.12  -4.331165613353e-11
 300.14  -1.532009337800e-10
 300.16   6.209151877993e-11
 300.18  -1.497596224086e-11
 300.20   1.147257932798e-11
 300.22   7.744431764439e-11
 300.24   9.534469440552e-11
 300.26   1.018064795542e-11
 300.28   1.016121826246e-11
 300.30  -4.539223683871e-12
 300.32  -5.184137749130e-11
 300.34   9.385494089722e-12
 300.36   3.129246800264e-11
 300.38  -9.065796144760e-11
 300.40  -3.098058508613e-11
 300.42   2.631578443733e-11
 300.44  -4.566081646320e-11
 300.46  -7.369896064774e-12
 300.48   9.368271472131e-11
 300.50   3.184024884156e-11
 300.52  -9.293143324375e-12
 300.54   6.434422663662e-11
 300.56  -4.963106892727e-11
 300.58   1.050334299085e-11
 300.60  -9.068477041165e-11
 300.62   5.659349259365e-11
 300.64  -4.156818365290e-11
 300.66  -2.085573820989e-11
 300.68  -3.269799814345e-13
 300.70   1.927634494414e-12
 300.72  -2.632483466608e-11
 300.74  -2.782770215888e-11
 300.76   2.688466046988e-11
 300.78   2.791173563262e-11
 300.80   4.406024473769e-11
 300.82  -2.261498382277e-11
 300.84   3.030735260277e-11
 300.86  -1.551838958182e-11
 300.88   4.097603756978e-11
 300.90   1.248801625983e-11
 300.92   9.575447581348e-12
 300.94  -2.100324973140e-11
 300.96   3.008283996044e-11
 300.98  -3.360952255206e-11
 301.00  -6.451297858587e-12
 301.02   3.382821427105e-11
 301.04  -8.949886781725e-12
 301.06   4.176604698970e-11
 301.08   3.182242934655e-11
 301.10   4.823128077822e-11
 301.12   2.464505033112e-11
 301.14  -2.398323551927e-12
 301.16   4.114002733866e-13
 301.18  -2.792107203708e-11
 301.20   2.664306477870e-11
 301.22  -3.873352043371e-11
 301.24   3.125205886524e-11
 301.26   1.424758902650e-11
 301.28   4.799010922629e-13
 301.30   7.110210829435e-12
 301.32   7.818848605534e-12
 301.34   2.778095429317e-11
 301.36  -3.585216029105e-11
 301.38  -1.844631537211e-11
 301.40  -7.205591841316e-12
 301.42   4.643556239896e-13
 301.44   4.027611849989e-11
 301.46  -6.724937351066e-13
 301.48  -5.954551802983e-12
 301.50   2.471737042309e-12
 301.52  -1.806370992609e-11
 301.54  -7.481449460181e-12
 301.56   2.241794603957e-11
 301.58   2.254745149925e-11
 301.60  -1.484566568680e-13
 301.62   1.191035800294e-11
 301.64  -1.430497311345e-11
 301.66   7.318190396039e-12
 301.68  -9.358032526062e-12
 301.70  -9.520617777706e-12
 301.72  -7.862377424053e-12
 301.74  -2.171482761291e-12
 301.76   2.962715308965e-12
 301.78  -1.041702954654e-11
 301.80  -7.090670656499e-12
 301.82  -2.797244019214e-11
 301.84   1.167877264583e-11
 301.86   2.011545309502e-11
 301.88  -1.983549985097e-11
 301.90   1.653164755314e-11
 301.92  -1.220049426283e-12
 301.94   3.463570867375e-12
 301.96   1.517982717928e-11
 301.98  -1.973272684403e-11
 302.00  -1.725513813136e-11
 302.02   4.887780086158e-12
 302.04   9.077564701952e-13
 302.06  -5.208763579336e-13
