#\*l [\oA]	Flux [mW/m\sp2\ep/\nm]
 298.92   0.000000000000e+00
 298.94  -8.999062231450e-14
 298.96  -5.026491161831e-14
 298.98   1.178983066156e-13
 299.00   5.633930410240e-14
 299.02   1.020374883031e-13
 299.04  -1.005054463400e-13
 299.06  -6.536468091135e-14
 299.08  -5.392510197210e-15
 299.10   5.117348322602e-14
 299.12   4.897325561889e-14
 299.14   8.586392928938e-14
 299.16  -1.451013032919e-13
 299.18  -5.014055366964e-14
 299.20  -1.122113367283e-13
 299.22  -2.912823066387e-14
 299.24   3.212739885503e-14
 299.26  -4.164804122245e-14
 299.28  -1.858205333580e-13
 299.30  -1.053558224861e-13
 299.32  -2.322126487196e-14
 299.34   1.754916461078e-13
 299.36   1.108062512897e-13
 299.38   3.556197895095e-14
 299.40  -1.653082902194e-13
 299.42  -9.554277067436e-14
 299.44   2.498030628863e-14
 299.46   6.847003983556e-14
 299.48   6.164921774078e-14
 299.50   5.212944572557e-14
 299.52  -1.483452116441e-13
 299.54   2.445311336807e-14
 299.56   7.747023288557e-14
 299.58   3.107375255228e-14
 299.60   6.738048593246e-14
 299.62  -9.008363147272e-15
 299.64  -1.498981139157e-13
 299.66  -1.499294016970e-14
 299.68   1.456966296255e-13
 299.70  -1.983947951539e-14
 299.72   7.839418491367e-14
 299.74  -1.209704184579e-13
 299.76  -1.681865516001e-13
 299.78  -5.414897325410e-14
 299.80   1.079497560080e-13
 299.82   1.603215742395e-13
 299.84   1.039568577167e-13
 299.86  -2.547755959177e-14
 299.88  -3.705113085356e-14
 299.90  -6.273442437340e-14
 299.92   1.864636678479e-13
 299.94   1.481650758241e-13
 299.96   1.304713798848e-12
 299.98  -1.367799950416e-12
 300.00  -1.396361977736e-12
 300.02  -6.753047391505e-13
 300.04   2.259511829149e-12
 300.06   3.560034379332e-12
 300.08   2.536097125550e-12
 300.10  -1.647043542851e-12
 300.12  -1.407697999141e-12
 300.14  -5.520516286278e-14
 300.16   1.398617008450e-12
 300.18   3.489038533082e-12
 300.20   6.275772321080e-14
 300.22  -2.955912302598e-12
 300.24  -2.021223046905e-12
 300.26  -1.773517876825e-12
 300.28   3.371140316970e-12
 300.30   1.975640708594e-12
 300.32   3.485013870792e-13
 300.34  -2.890459442522e-12
 300.36  -1.263520522660e-12
 300.38   4.414573542072e-12
 300.40   1.824200849441e-12
 300.42   2.080792372506e-12
 300.44  -1.123429335136e-12
 300.46  -2.564501359465e-12
 300.48  -5.369278183427e-13
 300.50   1.074532399936e-12
 300.52   2.994955251287e-12
 300.54   8.520277536938e-14
 300.56  -2.267248733888e-12
 300.58  -6.975534892921e-13
 300.60   2.735571576759e-13
 300.62   3.199566826996e-13
 300.64   9.174505632254e-13
 300.66   3.493173305729e-14
 300.68  -1.861897760390e-12
 300.70  -2.284148147134e-12
 300.72  -1.919672399510e-12
 300.74   3.117161526648e-13
 300.76   5.231070064272e-13
 300.78  -2.257830373278e-12
 300.80  -1.922666665796e-13
 300.82  -2.998548803906e-12
 300.84   4.756717676061e-13
 300.86   5.573278576925e-13
 300.88   1.336362804165e-12
 300.90   3.381198528539e-13
 300.92  -4.894253152611e-13
 300.94  -2.017955467065e-12
 300.96   7.162476289111e-13
 300.98   1.992851711010e-13
 301.00   3.065470081911e-12
 301.02  -3.756360418761e-13
 301.04  -1.750276762126e-12
 301.06   5.011481050749e-13
 301.08   1.745830659571e-12
 301.10   2.634816211190e-12
 301.12  -3.740969045319e-13
 301.14  -1.786351713072e-13
 301.16  -2.439541908833e-12
 301.18  -1.650997884569e-12
 301.20  -8.519967409912e-13
 301.22   1.686787848063e-12
 301.24   5.396939400010e-13
 301.26  -2.468724639269e-13
 301.28  -8.675364277608e-13
 301.30  -3.042947601303e-13
 301.32   3.733104120814e-13
 301.34   7.743702656915e-13
 301.36   9.524193376300e-13
 301.38  -1.550604367321e-12
 301.40  -8.133179347979e-13
 301.42  -5.004977220786e-14
 301.44   1.313914172734e-12
 301.46   2.645268006494e-13
 301.48   1.071113400107e-12
 301.50  -7.388467702411e-14
 301.52  -3.815551971452e-14
 301.54  -1.144566517444e-13
 301.56   6.740709160569e-13
 301.58   7.636366192278e-13
 301.60  -5.641910165831e-13
 301.62  -7.503487629575e-13
 301.64  -1.358295032440e-12
 301.66   5.070024735625e-13
 301.68   1.189369044980e-12
 301.70   1.084547210378e-12
 301.72  -1.732865254974e-13
 301.74  -6.920502587759e-13
 301.76  -1.170911484038e-12
 301.78   4.590727303208e-13
 301.80   9.032787134547e-13
 301.82   1.017463958307e-12
 301.84  -1.365310883973e-13
 301.86  -1.751564562855e-13
 301.88  -1.684123984971e-13
 301.90   4.735046181299e-13
 301.92   7.443401958892e-13
 301.94   7.569633077680e-13
 301.96   6.322638223505e-16
 301.98  -1.575963952399e-12
 302.00  -6.726564525207e-13
 302.02   6.428162435288e-13
 302.04   1.100825447500e-12
 302.06   9.999415476990e-13
 302.08  -3.991049581539e-13
 302.10  -1.253722651204e-12
 302.12  -2.105569024325e-13
 302.14   6.465961458263e-14
 302.16   5.476240061798e-13
 302.18   4.971950412284e-13
 302.20   3.609376790428e-13
 302.22  -7.115872465782e-13
 302.24   4.747003386116e-13
 302.26   2.077687058806e-13
 302.28   6.592934216781e-13
 302.30  -2.025780879063e-13
 302.32  -2.375579002215e-13
 302.34  -1.271968661319e-13
 302.36   3.071329929739e-13
 302.38   2.995867172745e-13
 302.40   1.104358538686e-12
 302.42   1.872959805990e-13
 302.44  -3.817716777607e-14
 302.46   3.249651928417e-13
 302.48   6.223572269871e-14
 302.50   5.014548348200e-13
 302.52   2.221893465581e-13
 302.54   1.777527215874e-14
 302.56  -1.537438426115e-13
 302.58   2.474188111803e-13
 302.60   4.896741152727e-13
 302.62   7.151150776417e-13
 302.64   3.068713861538e-13
 302.66   4.902101599037e-13
 302.68  -5.049409882772e-13
 302.70   3.696418002256e-13
 302.72   6.432272004225e-13
 302.74   9.499784936186e-13
 302.76   5.989278731810e-13
 302.78   5.118618331216e-15
 302.80   7.904453011038e-14
 302.82   7.675472580329e-13
 302.84   3.521217775874e-13
 302.86   7.702081224775e-13
 302.88   4.869188945945e-13
 302.90  -2.392002448574e-13
 302.92  -1.862066836245e-13
 302.94   1.346766364580e-13
 302.96   6.443163921591e-13
 302.98   8.862784659751e-13
 303.00   4.714371789585e-13
 303.02   2.335006498608e-13
 303.04   4.390212132867e-13
 303.06   2.495376228998e-13
 303.08   4.533723739584e-13
 303.10   1.291732981202e-13
 303.12  -1.470102308459e-13
 303.14  -5.694224243219e-13
 303.16  -1.199389183966e-14
 303.18   6.099206301607e-13
 303.20   9.552590977276e-13
 303.22   1.865510489390e-13
 303.24   4.554211111392e-13
 303.26  -3.044905490633e-14
 303.28   1.742765210200e-13
 303.30   7.466858917448e-13
 303.32   8.500010845253e-13
 303.34   5.170894652647e-13
 303.36   2.640695473047e-13
 303.38   1.791222883609e-13
 303.40  -3.667410497013e-13
 303.42   3.906657894312e-13
 303.44   5.971664309134e-13
 303.46   5.893689364449e-13
 303.48   4.609524251868e-13
 303.50   2.375967159303e-13
 303.52   7.811894348696e-13
 303.54   5.528941402102e-13
 303.56   6.752312392558e-13
 303.58   5.122317101695e-13
 303.60  -5.031148665301e-14
 303.62   2.146718599684e-13
 303.64   7.911693119504e-15
 303.66   5.264344242870e-13
 303.68   1.883876428677e-13
 303.70  -2.301433960993e-13
 303.72  -3.183521511848e-13
 303.74  -2.583618685910e-13
 303.76   1.932742114443e-13
 303.78   4.507029604652e-13
 303.80   7.080924758095e-13
 303.82   4.826410625937e-13
 303.84  -5.726716775945e-14
 303.86   4.054639473135e-13
 303.88   5.237898471491e-13
 303.90   3.586053281526e-13
 303.92   5.879145259404e-13
 303.94   5.218297354945e-14
 303.96   1.836888055705e-13
 303.98   3.363050757821e-13
 304.00   2.752628547801e-13
 304.02   3.457539894809e-13
 304.04  -8.412263900084e-14
 304.06  -2.489233615624e-14
 304.08  -2.418146284291e-13
 304.10   4.892984448702e-13
 304.12   3.162792553297e-13
 304.14   3.469498473322e-13
 304.16   1.584622377697e-13
 304.18   7.524735997693e-14
 304.20   4.045612402858e-14
 304.22   3.022939463023e-14
 304.24   1.362678645316e-13
 304.26   3.374216438741e-13
 304.28   5.637186689886e-14
 304.30   1.738013146150e-13
 304.32   3.411067853885e-13
 304.34   4.967644437384e-13
 304.36   3.956647294539e-13
 304.38   3.733075342097e-13
 304.40   1.500806333863e-13
 304.42   1.992705982669e-13
 304.44   2.809501666981e-13
 304.46   4.209863764932e-13
 304.48   3.536135112648e-13
 304.50   4.049687324732e-13
 304.52   1.398484711091e-13
 304.54   9.175206209869e-14
 304.56   3.158110334652e-13
 304.58   5.035984072649e-13
 304.60   4.044736903551e-13
 304.62   3.946998621532e-13
 304.64   4.320016320901e-14
 304.66   8.628303105185e-14
 304.68   1.147430219648e-13
 304.70   3.866478161025e-13
 304.72   1.030834024361e-13
 304.74   4.672982505776e-14
 304.76  -4.598255292274e-14
 304.78   1.359730236203e-13
 304.80   2.660000148217e-13
 304.82   3.378307372661e-13
 304.84   2.618412440467e-13
 304.86   2.160408196172e-13
 304.88   2.020890215279e-13
 304.90   4.224121946191e-13
 304.92   3.614973078644e-13
 304.94   6.322233384163e-13
 304.96   4.757094900131e-13
 304.98   2.955864000668e-13
 305.00   7.166118815013e-14
 305.02   3.214416187699e-13
 305.04   3.599211460484e-13
 305.06   8.131533847378e-14
 305.08   2.481844014118e-13
 305.10   2.589927582090e-13
 305.12   3.547315692909e-13
 305.14   5.662573906918e-13
 305.16   6.568981062652e-13
 305.18   6.084500848135e-13
 305.20   4.337912978594e-13
 305.22   3.394713640785e-13
 305.24   4.613122906254e-13
 305.26   4.586558842759e-13
 305.28   4.360812910015e-13
 305.30   4.293101009608e-13
 305.32   2.370541406419e-13
 305.34   7.575848810503e-14
 305.36   7.488635799684e-14
 305.38   3.273185062479e-13
 305.40   1.998867637775e-13
 305.42   2.223603383615e-13
 305.44   2.906461059163e-13
 305.46   3.021698021541e-13
 305.48   2.290466816063e-13
 305.50   4.061160881213e-13
 305.52   3.557616585651e-13
 305.54   4.151172082747e-13
 305.56   3.062960697473e-13
 305.58   2.932223024579e-13
 305.60   3.544647318990e-13
 305.62   2.784609522873e-13
 305.64   2.907942037694e-13
 305.66   1.969272692682e-13
 305.68   5.650018632838e-14
 305.70   5.612776892138e-14
 305.72   2.275221375571e-13
 305.74   2.319305014241e-13
 305.76   8.088081516792e-14
 305.78   3.318767925126e-14
 305.80   1.424110569596e-13
 305.82   1.479097311556e-13
 305.84   2.253866118354e-13
 305.86   1.045804483148e-13
 305.88   1.319074281339e-13
 305.90  -7.006952722448e-15
 305.92   1.902676766647e-13
 305.94   2.235952191747e-13
 305.96   2.911614474956e-13
 305.98   3.497953730860e-13
 306.00   2.207281414367e-13
 306.02   2.057732138216e-13
 306.04   8.957784080788e-14
 306.06   2.587577647804e-13
 306.08   4.295530855663e-13
 306.10   4.225272125532e-13
 306.12   3.882149275116e-13
 306.14   2.910623830880e-13
 306.16   1.936473716718e-13
 306.18   3.713966545114e-13
 306.20   3.014949907140e-13
 306.22   4.328467477006e-13
 306.24   2.936904357679e-13
 306.26   2.914729584303e-13
 306.28   2.894602253518e-13
 306.30   3.318123925021e-13
 306.32   2.567331415512e-13
 306.34   2.347712252620e-13
 306.36   9.271211154274e-14
 306.38   1.988565769943e-13
 306.40   2.041104819389e-13
 306.42   2.414764341892e-13
 306.44   2.508431949596e-13
 306.46   1.986494643187e-13
 306.48   1.821442568999e-13
 306.50   3.349311446037e-13
 306.52   4.243522586961e-13
 306.54   5.061472710975e-13
 306.56   4.139490405262e-13
 306.58   1.843711800409e-13
 306.60   9.741856963176e-14
 306.62   1.224047794257e-13
 306.64   2.932976932122e-13
 306.66   2.659504876692e-13
 306.68   1.226642955990e-13
 306.70   8.208287975998e-14
 306.72   2.005105387668e-14
 306.74   1.827917798187e-13
 306.76   3.019114458834e-13
 306.78   2.383001477319e-13
 306.80   2.755265442148e-13
 306.82   2.608006155475e-13
 306.84   1.886403937183e-13
 306.86   3.195618278306e-13
 306.88   4.428205563102e-13
 306.90   3.578866660092e-13
 306.92   3.486012946661e-13
 306.94   3.744006538378e-13
 306.96   3.726685312068e-13
 306.98   3.078284157940e-13
 307.00   3.132350189548e-13
 307.02   3.383754195948e-13
 307.04   3.616065068225e-13
 307.06   3.287172365698e-13
 307.08   4.013773706696e-13
 307.10   3.608000167188e-13
 307.12   4.432843138913e-13
 307.14   4.907637916437e-13
 307.16   3.139326686090e-13
 307.18   1.283379799890e-13
 307.20   1.636962180245e-13
 307.22   3.057320820480e-13
 307.24   4.226920514084e-13
 307.26   3.229038600148e-13
 307.28   2.286003440881e-13
 307.30   3.570357739044e-13
 307.32   5.312602405911e-13
 307.34   5.328788743501e-13
 307.36   3.317624211096e-13
 307.38   2.798571163397e-13
 307.40   2.438899512032e-13
 307.42   3.887683406137e-13
 307.44   4.515508370048e-13
 307.46   4.663218235741e-13
 307.48   2.702706092437e-13
 307.50   1.317643606382e-13
 307.52   1.462849093659e-13
 307.54   1.351074330328e-13
 307.56   2.171812088611e-13
 307.58   3.230217661723e-13
 307.60   3.695825239637e-13
 307.62   4.047992539599e-13
 307.64   4.283744539577e-13
 307.66   3.379566517583e-13
 307.68   3.839193354519e-13
 307.70   4.494099936803e-13
 307.72   4.171231728568e-13
 307.74   2.607523937666e-13
 307.76   2.745849274634e-13
 307.78   2.977533233566e-13
 307.80   2.484840692769e-13
 307.82   1.550031324314e-13
 307.84   1.763562098474e-13
 307.86   3.410908514771e-13
 307.88   4.604206526442e-13
 307.90   5.594794855518e-13
 307.92   5.400317496856e-13
 307.94   4.159147075143e-13
 307.96   3.262870349418e-13
 307.98   2.569787989001e-13
 308.00   3.332612679168e-13
 308.02   4.197418029696e-13
 308.04   3.592368280323e-13
 308.06   2.907484437434e-13
 308.08   2.922699284624e-13
 308.10   2.872237642440e-13
 308.12   1.971536895131e-13
 308.14   2.397863390242e-13
 308.16   1.990760630141e-13
 308.18   1.730015969147e-13
 308.20   1.413279044400e-13
 308.22   2.843768725677e-13
 308.24   3.082445983472e-13
 308.26   3.721466183350e-13
 308.28   3.219270872008e-13
 308.30   1.929370126005e-13
 308.32   1.788806610347e-13
 308.34   1.366247771326e-13
 308.36   2.370566358428e-13
 308.38   3.905486159141e-13
 308.40   4.627473741522e-13
 308.42   5.414011623768e-13
 308.44   5.337162470908e-13
 308.46   4.474932707233e-13
 308.48   4.396495035014e-13
 308.50   3.471385067470e-13
 308.52   3.638201844914e-13
 308.54   4.469383984813e-13
 308.56   5.263129612332e-13
 308.58   4.737179591490e-13
 308.60   4.107796790697e-13
 308.62   3.028899487301e-13
 308.64   2.738557498495e-13
 308.66   3.048898443530e-13
 308.68   3.553580031569e-13
 308.70   3.377200704866e-13
 308.72   3.292075959916e-13
 308.74   3.132904047287e-13
 308.76   2.172830572162e-13
 308.78   1.744922483954e-13
 308.80   2.599095401331e-13
 308.82   3.727498913516e-13
 308.84   3.828919640869e-13
 308.86   3.724161649344e-13
 308.88   3.857808472481e-13
 308.90   3.817616475596e-13
 308.92   2.698065958367e-13
 308.94   2.144121829313e-13
 308.96   2.619480943749e-13
 308.98   2.913131960525e-13
 309.00   2.537653099131e-13
 309.02   2.834556381109e-13
 309.04   3.699610346862e-13
 309.06   2.569581543145e-13
 309.08   1.869898592320e-13
 309.10   1.454986085440e-13
 309.12   1.024494779224e-13
 309.14   1.723479010971e-13
 309.16   2.490234339064e-13
 309.18   3.385094567808e-13
 309.20   2.695282026643e-13
 309.22   1.557433340972e-13
 309.24   5.290405240079e-14
 309.26   6.096763709573e-14
 309.28   8.919595300919e-14
 309.30   1.572756889577e-13
 309.32   1.961444214655e-13
 309.34   1.867348536180e-13
 309.36   1.905223475669e-13
 309.38   2.842145865648e-13
 309.40   2.896864826701e-13
 309.42   3.157732246093e-13
 309.44   3.941608850925e-13
 309.46   3.466830155793e-13
 309.48   3.166726546028e-13
 309.50   3.639724634827e-13
 309.52   4.181341297897e-13
 309.54   4.367552159842e-13
 309.56   3.292900462973e-13
 309.58   2.486495501504e-13
 309.60   2.224684950329e-13
 309.62   2.469452444385e-13
 309.64   1.532387604698e-13
 309.66   1.185563821333e-13
 309.68   1.222189642561e-13
 309.70   1.705893014542e-13
 309.72   2.867372973667e-13
 309.74   2.904201454609e-13
 309.76   3.020990176825e-13
 309.78   2.857136194412e-13
 309.80   3.238537313720e-13
 309.82   3.708910342724e-13
 309.84   3.323572326609e-13
 309.86   3.187983933774e-13
 309.88   2.057212676242e-13
 309.90   1.987196979910e-13
 309.92   1.825625388616e-13
 309.94   1.754139959361e-13
 309.96   1.276090387748e-13
 309.98   1.061902585162e-13
 310.00   8.690264881964e-14
 310.02   8.669559097123e-14
 310.04   1.066901072769e-13
 310.06   1.457207367326e-13
 310.08   2.066832987552e-13
 310.10   1.797377740042e-13
 310.12   1.154750749356e-13
 310.14   8.520708406814e-14
 310.16   1.439960438810e-13
 310.18   1.652086845557e-13
 310.20   1.869205898428e-13
 310.22   2.586215970135e-13
 310.24   2.186067323965e-13
 310.26   2.884340364790e-13
 310.28   4.275404775477e-13
 310.30   4.433106481530e-13
 310.32   4.786091423972e-13
 310.34   4.224172494707e-13
 310.36   3.159348206628e-13
 310.38   3.346843485016e-13
 310.40   4.294261604681e-13
 310.42   4.658956962207e-13
 310.44   4.795680637970e-13
 310.46   4.398611328097e-13
 310.48   3.995983345840e-13
 310.50   3.493159853953e-13
 310.52   3.122356004712e-13
 310.54   3.601000514446e-13
 310.56   4.390523719898e-13
 310.58   3.479967639673e-13
 310.60   3.589974002981e-13
 310.62   4.377460252588e-13
 310.64   4.495939381757e-13
 310.66   4.472373908114e-13
 310.68   4.524818067985e-13
 310.70   4.146028406349e-13
 310.72   3.275073178952e-13
 310.74   4.082476484082e-13
 310.76   4.177449859023e-13
 310.78   5.838648614987e-13
 310.80   5.982548973632e-13
 310.82   5.728962976447e-13
 310.84   5.006780430707e-13
 310.86   4.535345632646e-13
 310.88   4.808780938423e-13
 310.90   4.775437264454e-13
 310.92   4.509872152971e-13
 310.94   4.901181269757e-13
 310.96   4.860510054252e-13
 310.98   3.570727189657e-13
 311.00   3.700872268665e-13
 311.02   3.324332302218e-13
 311.04   2.529815328793e-13
 311.06   2.763209214911e-13
 311.08   4.488629572069e-13
 311.10   5.917152551229e-13
 311.12   6.316353251312e-13
 311.14   4.108666825361e-13
 311.16   3.060324444510e-13
 311.18   3.005351431091e-13
 311.20   4.352527609487e-13
 311.22   5.508038801289e-13
 311.24   5.859390252724e-13
 311.26   6.066720991059e-13
 311.28   5.496447091525e-13
 311.30   4.505262086471e-13
 311.32   3.305788974476e-13
 311.34   3.733779070654e-13
 311.36   3.819469509164e-13
 311.38   2.491035163671e-13
 311.40   2.821135078292e-13
 311.42   3.986594959170e-13
 311.44   4.181468889989e-13
 311.46   4.063256169299e-13
 311.48   4.615035068742e-13
 311.50   5.022378274536e-13
 311.52   4.963774264346e-13
 311.54   5.039332375744e-13
 311.56   5.408180665304e-13
 311.58   4.569578100053e-13
 311.60   3.137796314310e-13
 311.62   1.822154509348e-13
 311.64   2.337977874035e-13
 311.66   2.751700013765e-13
 311.68   3.352940829378e-13
 311.70   3.735942957284e-13
 311.72   3.722223870123e-13
 311.74   3.163063544808e-13
 311.76   3.232280843004e-13
 311.78   3.458588308342e-13
 311.80   2.825000196880e-13
 311.82   2.560896734601e-13
 311.84   3.057264217561e-13
 311.86   4.029556261043e-13
 311.88   4.810346273365e-13
 311.90   3.304482273754e-13
 311.92   1.964179257665e-13
 311.94   2.100792872310e-13
 311.96   3.348358232798e-13
 311.98   4.172473922899e-13
 312.00   3.050432451232e-13
 312.02   2.339973666249e-13
