Name,RAJ2000,DEJ2000,RA (deg),DEC (deg),Dist,SpT,Teff,log_L__,source
RXJ0445.8+1556,04 45 51.29,+15 55 49.69,71.4637083,15.9304694,140,G5,5770,0.485,Manara+2017
RXJ1508.6-4423,15 08 37.75,-44 23 16.95,227.1572917,-44.3880417,150,G8,5520,0.043,Manara+2017
RXJ1526.0-4501,15 25 59.65,-45 01 15.72,231.4985417,-45.0210333,150,G9,5410,-0.061,Manara+2017
RXJ1515.8-3331,15 15 45.36,-33 31 59.78,228.939,-33.5332722,150,K0.5,5050,0.098,Manara+2017
RXJ0457.5+2014,04 57 30.66,+20 14 29.42,74.37775,20.2415056,140,K1,5000,-0.15,Manara+2017
RXJ0438.6+1546,04 38 39.07,+15 46 13.61,69.6627917,15.7704472,140,K2,4900,-0.024,Manara+2017
RXJ1547.7-4018,15 47 41.76,-40 18 26.80,236.924,-40.3074444,150,K3,4730,-0.081,Manara+2017
RXJ1538.6-3916,15 38 38.36,-39 16 54.08,234.6598333,-39.2816889,150,K4,4590,-0.217,Manara+2017
TWA9A,11 48 24.22,-37 28 49.15,177.100916666667,-37.4803194444444,68,K5,4350,-0.61,Manara+2013
RXJ1540.7-3756,15 40 41.17,-37 56 18.54,235.1715417,-37.9384833,150,K6,4205,-0.405,Manara+2017
TWA6,10 18 28.70,-31 50 02.85,154.619583333333,-31.834125,51,K7,4060,-0.96,Manara+2013
TWA25,12 15 30.71,-39 48 42.56,183.877958333333,-39.8118222222222,54,M0,3850,-0.61,Manara+2013
TWA14,11 13 26.22,-45 23 42.74,168.35925,-45.3952055555556,96,M0.5,3780,-0.83,Manara+2013
TWA13B,11 21 17.24,-34 46 45.50,170.321833333333,-34.7793055555556,59,M1,3705,-0.7,Manara+2013
TWA2A,11 09 13.81,-30 01 39.80,167.307541666667,-30.0277222222222,47,M2,3560,-0.48,Manara+2013
TWA7,10 42 30.06,-33 40 16.62,160.62525,-33.6712833333333,28,M3,3415,-1.14,Manara+2013
Sz121,16 10 12.19,-39 21 18.11,242.550791666667,-39.3550305555556,200,M4,3270,-0.34,Manara+2013
SO797,05 38 54.92,-02 28 58.35,84.7288333333333,-2.482875,360,M4.5,3200,-1.26,Manara+2013
SO641,05 38 38.58,-02 41 55.86,84.66075,-2.69885,360,M5,3125,-1.53,Manara+2013
SO999,05 39 20.23,-02 38 25.87,84.8342916666667,-2.64051944444444,360,M5.5,3060,-1.28,Manara+2013
Par-Lup3-1,16 08 16.03,-39 03 04.29,242.066791666667,-39.0511916666667,200,M6.5,2935,-1.18,Manara+2013
CHSM17173,11 10 22.26,-76 25 13.80,167.59275,-76.4205,160,M8,2710,-1.993,Manara+2017
TWA26,11 39 51.14,-31 59 21.50,174.963083333333,-31.9893055555556,42,M9,2400,-2.7,Manara+2013
